Text,PostDate,Body_PostId
"@Néstor reformulate as 'the probability that the 95% confidence interval contains the true value', which is, all assumptions taken into account and defining probability as the 'relative frequency of occurrence' or 'propensity', 0.95. Don't forget as well that probability is defined differently in frequentist and bayesian theories. BTW, I've read the whole discussion, but if I remember correctly it was you who brought the arguments given there to this discussion...",2010-09-01 11:26:03.0,"<p>The ""true"" expected value cannot be calculated. You can <strong>estimate</strong> it using the mean of the ratings for each product, and get an idea about the position by calculating the 95% confidence interval (CI) on the mean.</p>

<p>This is done by</p>

<p>$CI \\approx avg \\pm 2 * \\frac{SD}{\\sqrt{n}}$</p>

<p>with n being the number of ratings, SD the standard deviation and avg the average. More correct would be to use the T-distribution, where you use the 2.5% and 97.5% quantile of the T-distribution with degrees of freedom equal to number of observations minus one.</p>

<p>$CI = avg \\pm T_{(p=0.975,df=n-1)} * \\frac{SD}{\\sqrt{n}}$</p>

<p>For 10 ratings, $T_{(p=0.975,df=n-1)}$ is 2.26. For 50 ratings, it is 2.01.</p>

<p>There's a chance of 95% this confidence interval contains the true value. Or, to please Nèstor: if you do this experiment 10,000 times, 95% of the confidence intervals you construct this way will contain the true value for the expected value. </p>

<p>You assume here that the distribution of the average is normal. If you have a very low amount of ratings, the SD can be estimated wrongly. </p>

<p>In that case, you could estimate an ""overall"" standard deviation on the scoring, and use that to calculate the CI. But keep in mind that this way you assume that the standard deviation is the same for every product. </p>

<p>In extremis, you could resort to bootstrapping to calculate the CI for every product. This will increase the calculation time substantially, and won't be adding any value for products with enough ratings. </p>
2266"
"It is very unusual to report the mean of the bootstrap distribution as point estimate. Honestly, I can hardly imagine a situation where this makes sense.",2013-12-10 14:35:17.0,"<p>Suppose I bootstrap the distribution of the sample mean. Normally, one would use the mean of the bootstrapped distribution as point estimate of the parameter and the s.d. as its standard error. The mean of the bootstrapped distribution is asymptotically equal to the sample estimate (i.e. for a large number of iterated draws).</p>

<p>Now suppose the mean, or more generally, parameter, has an asymetrical bootstrap distribution, so that the sample estimate of the parameter and the mean of the bootstrap distribution are likely to be unequal for a moderate amount of iterated draws. Should I still expect both to be asympotically equivalent, so as I increase the number of draws, both will be equal? And if this is so, is it customary practice to increase the number of iterations until they are equal before I report statistics?</p>

<p>In my practical case, both deviate after 1000 iterated draws. So I am unsure whether I should report the sample estimate or the mean of the bootstrap distribution of the parameter.</p>
79208"
"@whuber: Jokes sometimes misfire. I meant that sampling from a multivariate Cauchy distribution would be a nightmare in practice for data analysts. The derivations, as you state, clearly are to hand.",2013-10-22 22:37:54.0,"<p>I have searched for the above topic but did not have an answer. Can someone please tell me the detailed difference between the multivariate Gaussian Distribution and multivariate Cauchy Distribution? How do they differ in sampling is Estimation of Distribution algorithm for optimisation.</p>
73528"
"@probabilityislogic: Trés, trés informatif! What if providing _any_ rating is considered ""success""? I presume the same logic holds, no? Also, do You have any insight on how to perform such a calculation if, instead of ""like"" and ""dislike"" and etc., the rating is any numerical value on a scale from, say, 0-9, including fractions? Does some sort of integral apply?",2011-01-18 23:42:31.0,"<p>One way you can combat this is to use proportions in each category, which does not require you to put numbers in for each category (you can leave it as 80% rated as ""strongly likes"").  However proportions do suffer from the <em>small number of ratings</em> issue.  This shows up in your example the Photo with 1 +5 rating would get a higher average score (and proportion) than one with the 99 +5 and 1 +2 rating.  This doesn't fit well with my intuition (and I suspect most peoples).</p>

<p>One way to get around this small sample size issue is to use a Bayesian technique known as ""<a href=""http://en.wikipedia.org/wiki/Rule_of_succession"">Laplace's rule of succession</a>"" (searching this term may be useful).  It simply involves adding 1 ""observation"" to each category before calculating the probabilities.  If you wanted to take an average for a numerical value, I would suggest a <em>weighted average</em> where the weights are the probabilities calculated by the rule of succession.</p>

<p>For the mathematical form, let $n_{sd},n_{d},n_{l},n_{sl}$ denote the number of responses of ""strongly dislike"", ""dislike"", ""like"", and ""strongly like"" respectively (in the two examples, $n_{sl}=1,n_{sd}=n_{d}=n{l}=0$ and $n_{sl}=99,n_{l}=1,n_{sd}=n_{d}=0$).  You then calculate the probability (or weight) for strongly like as </p>

<p>$$Pr(\\text{&quot;Strongly Like&quot;}) = \\frac{n_{sl}+1}{n_{sd}+n_{d}+n_{l}+n_{sl}+4}$$</p>

<p>For the two examples you give, they give probabilities of ""strongly like"" as
$\\frac{1+1}{1+0+0+0+4}=\\frac{2}{5}$ and $\\frac{99+1}{99+1+0+0+4}=\\frac{100}{104}$  which I think agree more closely with ""common sense"".  Removing the added constants give $\\frac{1}{1}$ and $\\frac{99}{100}$ which makes the first outcome seem higher than it should be (at least to me anyway).</p>

<p>The respective scores are just given by the weighted average, which I have written below as:</p>

<p>$$Score=\\begin{array}{1 1} 5\\frac{n_{sl}+1}{n_{sd}+n_{d}+n_{l}+n_{sl}+4}+2\\frac{n_{l}+1}{n_{sd}+n_{d}+n_{l}+n_{sl}+4} \\\\ - 2\\frac{n_{d}+1}{n_{sd}+n_{d}+n_{l}+n_{sl}+4}\\n-5\\frac{n_{sd}+1}{n_{sd}+n_{d}+n_{l}+n_{sl}+4}\\end{array}$$</p>

<p>Or more succinctly as</p>

<p>$$Score=\\frac{5 n_{sl}+ 2 n_{l} - 2 n_{d} - 5 n_{sd}}{n_{sd}+n_{d}+n_{l}+n_{sl}+4}$$</p>

<p>Which gives scores in the two examples of $\\frac{5}{5}=1$ and $\\frac{497}{104}\\sim 4.8$.  I think this shows an appropriate difference between the two cases.</p>

<p>This may have been a bit ""mathsy"" so let me know if you need more explanation.</p>
6361"
Thanks Alecos.  You've earned the bounty for sure.  But I'm really curious about the answer to my last question.,2014-05-24 23:33:39.0,"<p>As for your first question, one should define ""standard"", or acknowledge that a ""canonical model"" has been gradually established. As a comment indicated, it appears at least that the way you use IRWLS is rather standard.</p>

<p>As for your second question, ""contraction mapping in probability"" could be linked (however informally) to convergence of ""recursive stochastic algorithms"". From what I read, there is a huge literature on the subject mainly in Engineering. In Economics, we use a tiny bit of it, especially the seminal works of Lennart Ljung -the first paper was <a href=""http://ieeexplore.ieee.org/xpl/freeabs_all.jsp?arnumber=1101561&amp;abstractAccess=no&amp;userType=inst"" rel=""nofollow"">Ljung (1977)</a>- which showed that the convergence (or not) of a recursive stochastic algorithm can be determined by the stability (or not) of a related ordinary differential equation.  </p>

<p><em>(what follows has been re-worked after a fruitful discussion with the OP in the comments)</em> </p>

<blockquote>
  <p><strong>Convergence</strong></p>
</blockquote>

<p>I will use as reference <a href=""http://ramanujan.math.trinity.edu/selaydi/books/diffeq/index.shtml"" rel=""nofollow"">Saber Elaydi ""An Introduction to Difference Equations"", 2005, 3d ed.</a> 
The analysis is conditional on some given data sample, so the $x's$ are treated as fixed.  </p>

<p>The first-order condition for the minimization of the objective function, viewed as a recursive function in $m$,
$$m(k+1) = \\sum_{i=1}^{N} v_i[m(k)] x_i, \\;\\; v_i[m(k)] \\equiv \\frac{w_i[m(k)]}{ \\sum_{i=1}^{N} w_i[m(k)]} \\qquad [1]$$</p>

<p>has a fixed point (the argmin of the objective function). 
By Theorem 1.13 pp 27-28 of Elaydi, if the first derivative with respect to $m$ of the RHS of $[1]$, evaluated at the fixed point $m^*$, denote it $A'(m^*)$, is smaller than unity in absolute value, then $m^*$ is <em>asymptotically stable</em> (AS). More over by Theorem 4.3 p.179 we have that this also implies that the fixed point is <em>uniformly</em> AS (UAS).<br>
""Asymptotically stable"" means that for some range of values around the fixed point, a neighborhood $(m^* \\pm \\gamma)$, not necessarily small in size, the fixed point is <em>attractive</em> , and so if the algorithm gives values in this neighborhood, it will converge. The property being ""uniform"", means that the boundary of this neighborhood, and hence its size, is independent of the initial value of the algorithm. The fixed point becomes <em>globally</em> UAS, if $\\gamma = \\infty$.<br>
So in our case, if we prove that </p>

<p>$$|A'(m^*)|\\equiv \\left|\\sum_{i=1}^{N} \\frac{\\partial v_i(m^*)}{\\partial m}x_i\\right| &lt;1 \\qquad [2]$$</p>

<p>we have proven the UAS property, but without global convergence. Then we can either try to establish that the neighborhood of attraction is in fact the whole extended real numbers, or, that the specific starting value the OP uses as mentioned in the comments (and it is standard in IRLS methodology), i.e. the sample mean of the $x$'s, $\\bar x$, always belongs to the neighborhood of attraction of the fixed point.</p>

<p>We calculate the derivative 
$$\\frac{\\partial v_i(m^*)}{\\partial m} = \\frac {\\frac{\\partial w_i(m^*)}{\\partial m}\\sum_{i=1}^{N} w_i(m^*)-w_i(m^*)\\sum_{i=1}^{N}\\frac{\\partial w_i(m^*)}{\\partial m}}{\\left(\\sum_{i=1}^{N} w_i(m^*)\\right)^2}$$</p>

<p>$$=\\frac 1{\\sum_{i=1}^{N} w_i(m^*)}\\cdot\\left[\\frac{\\partial w_i(m^*)}{\\partial m}-v_i(m^*)\\sum_{i=1}^{N}\\frac{\\partial w_i(m^*)}{\\partial m}\\right]$$
Then</p>

<p>$$A'(m^*) = \\frac 1{\\sum_{i=1}^{N} w_i(m^*)}\\cdot\\left[\\sum_{i=1}^{N}\\frac{\\partial w_i(m^*)}{\\partial m}x_i-\\left(\\sum_{i=1}^{N}\\frac{\\partial w_i(m^*)}{\\partial m}\\right)\\sum_{i=1}^{N}v_i(m^*)x_i\\right]$$</p>

<p>$$=\\frac 1{\\sum_{i=1}^{N} w_i(m^*)}\\cdot\\left[\\sum_{i=1}^{N}\\frac{\\partial w_i(m^*)}{\\partial m}x_i-\\left(\\sum_{i=1}^{N}\\frac{\\partial w_i(m^*)}{\\partial m}\\right)m^*\\right]$$</p>

<p>and </p>

<p>$$|A'(m^*)| &lt;1 \\Rightarrow \\left|\\sum_{i=1}^{N}\\frac{\\partial w_i(m^*)}{\\partial m}(x_i-m^*)\\right| &lt; \\left|\\sum_{i=1}^{N} w_i(m^*)\\right| \\qquad [3]$$</p>

<p>we have</p>

<p>$$\\begin{align}\\frac{\\partial w_i(m^*)}{\\partial m} = &amp;\\frac{-\\rho''(|x_i-m^*|)\\cdot \\frac {x_i-m^*}{|x_i-m^*|}|x_i-m^*|+\\frac {x_i-m^*}{|x_i-m^*|}\\rho'(|x_i-m^*|)}{|x_i-m^*|^2} \\\\
\\\\
&amp;=\\frac {x_i-m^*}{|x_i-m^*|^3}\\rho'(|x_i-m^*|) - \\rho''(|x_i-m^*|)\\cdot \\frac {x_i-m^*}{|x_i-m^*|^2} \\\\
\\\\
&amp;=\\frac {x_i-m^*}{|x_i-m^*|^2}\\cdot \\left[\\frac {\\rho'(|x_i-m^*|)}{|x_i-m^*|}-\\rho''(|x_i-m^*|)\\right]\\\\
\\\\
&amp;=\\frac {x_i-m^*}{|x_i-m^*|^2}\\cdot \\left[w_i(m^*)-\\rho''(|x_i-m^*|)\\right]
\\end{align}$$</p>

<p>Inserting this into $[3]$ we have</p>

<p>$$\\left|\\sum_{i=1}^{N}\\frac {x_i-m^*}{|x_i-m^*|^2}\\cdot \\left[w_i(m^*)-\\rho''(|x_i-m^*|)\\right](x_i-m^*)\\right| &lt; \\left|\\sum_{i=1}^{N} w_i(m^*)\\right|$$</p>

<p>$$\\Rightarrow \\left|\\sum_{i=1}^{N}w_i(m^*)-\\sum_{i=1}^{N}\\rho''(|x_i-m^*|)\\right| &lt; \\left|\\sum_{i=1}^{N} w_i(m^*)\\right| \\qquad [4]$$</p>

<p>This is the condition that must be satisfied for the fixed point to be UAS. Since in our case the penalty function is convex, the sums involved are positive. So condition $[4]$ is equivalent to </p>

<p>$$\\sum_{i=1}^{N}\\rho''(|x_i-m^*|) &lt; 2\\sum_{i=1}^{N}w_i(m^*) \\qquad [5]$$</p>

<p>If $\\rho(|x_i-m|)$ is Hubert's loss function, then we have a quadratic ($q$) and a linear ($l$) branch, </p>

<p>$$\\rho(|x_i-m|)=\\cases{ (1/2)|x_i- m|^2 \\qquad\\;\\;\\;\\; |x_i-m|\\leq \\delta \\\\ 
\\\\
\\delta\\big(|x_i-m|-\\delta/2\\big) \\qquad  |x_i-m|&gt; \\delta}$$</p>

<p>and </p>

<p>$$\\rho'(|x_i-m|)=\\cases{ |x_i- m| \\qquad |x_i-m|\\leq \\delta \\\\ 
\\\\
\\delta \\qquad \\qquad \\;\\;\\;\\;  |x_i-m|&gt; \\delta}$$</p>

<p>$$\\rho''(|x_i-m|)=\\cases{ 1\\qquad |x_i-m|\\leq \\delta \\\\ 
\\\\
0 \\qquad  |x_i-m|&gt; \\delta} $$</p>

<p>$$\\cases{ w_{i,q}(m) =1\\qquad \\qquad \\qquad |x_i-m|\\leq \\delta \\\\ 
\\\\
w_{i,l}(m) =\\frac {\\delta}{|x_i-m|} &lt;1 \\qquad  |x_i-m|&gt; \\delta} $$</p>

<p>Since we do not know how many of the $|x_i-m^*|$'s place us in the quadratic branch and how many in the linear, we decompose condition $[5]$ as ($N_q + N_l = N$)</p>

<p>$$\\sum_{i=1}^{N_q}\\rho_q''+\\sum_{i=1}^{N_l}\\rho_l'' &lt; 2\\left[\\sum_{i=1}^{N_q}w_{i,q} +\\sum_{i=1}^{N_l}w_{i,l}\\right]$$</p>

<p>$$\\Rightarrow N_q + 0 &lt; 2\\left[N_q +\\sum_{i=1}^{N_l}w_{i,l}\\right] \\Rightarrow 0 &lt; N_q+2\\sum_{i=1}^{N_l}w_{i,l}$$</p>

<p>which holds. So for the Huber loss function the fixed point of the algorithm is uniformly asymptotically stable, irrespective of the $x$'s. We note that the first derivative is smaller than unity in absolute value for any $m$, not just the fixed point.  </p>

<p>What we should do now is either prove that the UAS property is also global, or that, if $m(0) = \\bar x$ then $m(0)$ belongs to the neighborhood of attraction of $m^*$.</p>
99955"
Sikkim Manipal Assignment Question?? I have the Answer.,2014-05-22 12:27:01.0,"<p>Any hints on how to solve this problem?</p>

<blockquote>
  <p>A sample  of 400 items is taken from a normal population whose mean
  as well as variance is 4. If the sample mean is 4.5, can the sample
  be regarded as a truly random sample?</p>
</blockquote>
99690"
"@cardinal Gene Golub told me that the SMW identity was so numerically unstable that it shouldn't be used in practice - I wasn't going to argue with him! ;o)  I had a look at the Given's rotation method (Gentleman's paper); it looks interesting, must get round to implementing it at some point!",2011-02-05 19:09:20.0,"<p>Maindonald describes a sequential method based on <a href=""http://en.wikipedia.org/wiki/Givens_rotation"">Givens rotations</a>.  (A Givens rotation is an orthogonal transformation of two vectors that zeros out a given entry in one of the vectors.)  At the previous step you have decomposed the <a href=""http://en.wikipedia.org/wiki/Design_matrix"">design matrix</a> $\\mathbf{X}$ into a triangular matrix $\\mathbf{T}$ via an orthogonal transformation $\\mathbf{Q}$ so that $\\mathbf{Q}\\mathbf{X} = (\\mathbf{T}, \\mathbf{0})'$.  (It's fast and easy to get the regression results from a triangular matrix.)  Upon adjoining a new row $v$ below $\\mathbf{X}$, you effectively extend $(\\mathbf{T}, \\mathbf{0})'$ by a nonzero row, too, say $t$.  The task is to zero out this row while keeping the entries in the position of $\\mathbf{T}$ diagonal.  A sequence of Givens rotations does this: the rotation with the first row of $\\mathbf{T}$ zeros the first element of $t$; then the rotation with the second row of $\\mathbf{T}$ zeros the second element, and so on.  The effect is to premultiply $\\mathbf{Q}$ by a series of rotations, which does not change its orthogonality.</p>

<p>When the design matrix has $p+1$ columns (which is the case when regressing on $p$ variables plus a constant), the number of rotations needed does not exceed $p+1$ and each rotation changes two $p+1$-vectors.    The storage needed for $\\mathbf{T}$ is $O((p+1)^2)$.  Thus this algorithm has a computational cost of $O((p+1)^2)$ in both time and space.</p>

<p>A similar approach lets you determine the effect on regression of deleting a row.  Maindonald gives formulas; so do <a href=""http://books.google.com/books?id=GECBEUJVNe0C&amp;printsec=frontcover&amp;dq=Belsley,+Kuh,+%26+Welsch&amp;source=bl&amp;ots=b6k5lVb7E3&amp;sig=vOuq7Ehg3OrO01CepQ8p-DZ1Bww&amp;hl=en&amp;ei=m7hNTeyfNsSAlAeY3eXcDw&amp;sa=X&amp;oi=book_result&amp;ct=result&amp;resnum=5&amp;ved=0CDMQ6AEwBA#v=onepage&amp;q&amp;f=false"">Belsley, Kuh, &amp; Welsh</a>.  Thus, if you are looking for a moving window for regression, you can retain data for the window within a circular buffer, adjoining the new datum and dropping the old one with each update.  This doubles the update time and requires additional $O(k (p+1))$ storage for a window of width $k$.  It appears that $1/k$ would be the analog of the influence parameter.</p>

<p>For exponential decay, I think (speculatively) that you could adapt this approach to weighted least squares, giving each new value a weight greater than 1.  There shouldn't be any need to maintain a buffer of previous values or delete any old data.</p>

<h3>References</h3>

<p>J. H. Maindonald, <em>Statistical Computation.</em>  J. Wiley &amp; Sons, 1984.  Chapter 4.</p>

<p>D. A. Belsley, E. Kuh, R. E. Welsch, <em>Regression Diagnostics: Identifying Influential Data and Sources of Collinearity.</em>  J. Wiley &amp; Sons, 1980. </p>
6923"
the perennial question... see edit,2013-06-26 20:33:17.0,"<p>This is basically a modified version of a previously unanswered question I posed <a href=""http://stats.stackexchange.com/questions/31937/how-to-get-p-value-for-indirectly-generated-random-variables"">here</a>, as I'm starting to have second thoughts about my methodology.</p>

<p>In summary, I have four random variables:</p>

<p>X<sub>ideal</sub>, X<sub>nonideal</sub>, Y<sub>ideal</sub>, Y<sub>nonideal</sub>, </p>

<p>which I have sampled a different number of times (> 30).</p>

<p>I am able to get the difference between X<sub>ideal</sub> and X<sub>nonideal</sub> (denoted <code>X</code>) as well as the difference between Y<sub>ideal</sub> and Y<sub>nonideal</sub> (denoted <code>Y</code>), which I can display as mean difference and standard error:</p>

<pre><code>     N_ideal  N_nonideal  Mean Difference  Standard Error
X    64       62          23.5             1.56
Y    71       67          27.1             1.67
</code></pre>

<p>I'm now looking to get the p-value to assess the difference between X and Y. The t-statistic if I'm not mistaken is simply</p>

<p>$$
    t_s = (27.1 - 23.5)/\\sqrt{1.56^2 + 1.67^2};
$$</p>

<p>I guess the question is now, how do I calculate the degrees of freedom (df)?</p>

<p>Edit:
I calculated the standard error with the following formula
$$
ste_{X} = \\sqrt{ \\sigma^2_{X_{ideal}}/N_{X_{ideal}}+\\sigma^2_{X_{nonideal}}/N_{X_{nonideal}}}
$$</p>

<p>Edit 2: Ok, to sum this up, I have four independent random variables, I need the df of </p>

<p>$$
Z = (X_{i}-X_{n}) - (Y_{i}-Y_{n})
$$</p>

<p>Looking at the Welch–Satterthwaite equation, would my answer be:</p>

<p>(if $$Nt_x = N_x - 1$$)</p>

<p>$$
v_Z = \\frac{(Var(X_{i})+Var(X_{n}) + Var(Y_{i})+ Var(Y_{n}))^2}{(Var(X_{i}))^2/Nt_{Xi}+(Var(X_{n}))^2/Nt_{Xn}+(Var(Y_{i}))^2/Nt_{Yi}+(Var(Y_{n}))^2/Nt_{Yn}} = 236
$$</p>

<p>or</p>

<p>$$
v_Z = \\frac{(Var(X_{i})-Var(X_{n}) - Var(Y_{i} )+ Var(Y_{n}))^2}{(Var(X_{i}))^2/Nt_{Xi}+(Var(X_{n}))^2/Nt_{Xn}+(Var(Y_{i}))^2/Nt_{Yi}+(Var(Y_{n}))^2/Nt_{Yn}} = 16
$$</p>
62666"
If someone has to explain the joke it makes the joke not funny anymore.,2014-02-27 00:34:29.0,"<p>I see that one time out of the twenty total tests they run, $p &lt; 0.05$, so they wrongly assume that during one of the twenty tests, the result is significant ($0.05 = 1/20$). </p>

<p><a href=""https://xkcd.com/882/"">xkcd jelly bean comic - ""Significant""</a></p>

<ul>
<li>Title: Significant</li>
<li>Hover text: ""'So, uh, we did the green study again and got no link. It was probably a--' 'RESEARCH CONFLICTED ON GREEN JELLY BEAN/ACNE LINK; MORE STUDY RECOMMENDED!'""</li>
</ul>

<p><img src=""http://i.stack.imgur.com/QZsY3.png"" alt=""xkcd comic 882 - &quot;Significant&quot;""></p>
88065"
"In this case, I use established terminology (see e.g. classic book _Harman. Modern factor analysis_). Eigenvectors are the direction cosines of the transformation. When they are supplied by the information about variation (normalized by eigenvalues) they become loadings. Loadings are the scalar products, e.g. correlations or covariances - and are thus directly comparable to those between the variables. Both eigenvectors and loadings may serve as regressional coefficients in relations b/w the components and the variables.",2013-11-01 16:07:11.0,"<p>The question asks about ""identifying underlying [linear] relationships"" among variables.</p>

<p><strong>The quick and easy way to <em>detect</em> relationships</strong> is to regress any other variable (use a constant, even) against those variables using your favorite software: any good regression procedure will detect and diagnose collinearity.  (You will not even bother to look at the regression results: we're just relying on a useful side-effect of setting up and analyzing the regression matrix.)</p>

<p>Assuming collinearity is detected, though, what next?  <strong>Principal Components Analysis</strong> (PCA) is exactly what is needed: its <em>smallest</em> components correspond to near-linear relations.  These relations can be read directly off the ""loadings,"" which are linear combinations of the original variables.  Small loadings (that is, those associated with small eigenvalues) correspond to near-collinearities.  An eigenvalue of $0$ would correspond to a perfect linear relation.  Slightly larger eigenvalues that are still much smaller than the largest would correspond to approximate linear relations.</p>

<p>(There is an art and quite a lot of literature associated with identifying what a ""small"" loading is.  For modeling a dependent variable, I would suggest including it within the independent variables in the PCA in order to identify the components--regardless of their sizes--in which the dependent variable plays an important role.  From this point of view, ""small"" means much smaller than any such component.)</p>

<hr>

<p><strong>Let's look at some examples.</strong>  (These use <code>R</code> for the calculations and plotting.)  Begin with a function to perform PCA, look for small components, plot them, and return the linear relations among them. </p>

<pre class=""lang-R prettyprint-override""><code>pca &lt;- function(x, threshold, ...) {
  fit &lt;- princomp(x)
  #
  # Compute the relations among ""small"" components.
  #
  if(missing(threshold)) threshold &lt;- max(fit$sdev) / ncol(x)
      i &lt;- which(fit$sdev &lt; threshold)
  relations &lt;- fit$loadings[, i, drop=FALSE]
  relations &lt;- round(t(t(relations) / apply(relations, 2, max)), digits=2)
  #
  # Plot the loadings, highlighting those for the small components.
  #
  matplot(x, pch=1, cex=.8, col=""Gray"", xlab=""Observation"", ylab=""Value"", ...)
  suppressWarnings(matplot(x %*% relations, pch=19, col=""#e0404080"", add=TRUE))

  return(t(relations))
}
</code></pre>

<p>Let's apply this to some random data.  These are built on four variables (the $B,C,D,$ and $E$ of the question).  Here is a little function to compute $A$ as a given linear combination of the others.  It then adds i.i.d. Normally-distributed values to all five variables (to see how well the procedure performs when multicollinearity is only approximate and not exact).</p>

<pre class=""lang-R prettyprint-override""><code>process &lt;- function(z, beta, sd, ...) {
  x &lt;- z %*% beta; colnames(x) &lt;- ""A""
  pca(cbind(x, z + rnorm(length(x), sd=sd)), ...)
}
</code></pre>

<p>We're all set to go: it remains only to generate $B, \\ldots, E$ and apply these procedures.  I use the two scenarios described in the question: $A=B+C+D+E$ (plus some error in each) and $A=B+(C+D)/2+E$ (plus some error in each).  First, however, note that PCA is almost always applied to <em>centered</em> data, so these simulated data are centered (but not otherwise rescaled) using <code>sweep</code>.</p>

<pre class=""lang-R prettyprint-override""><code>n.obs &lt;- 80 # Number of cases
n.vars &lt;- 4 # Number of independent variables
set.seed(17)
z &lt;- matrix(rnorm(n.obs*(n.vars)), ncol=n.vars)
z.mean &lt;- apply(z, 2, mean)
z &lt;- sweep(z, 2, z.mean)
colnames(z) &lt;- c(""B"",""C"",""D"",""E"") # Optional; modify to match `n.vars` in length
</code></pre>

<p>Here we go with two scenarios and three levels of error applied to each.  The original variables $B, \\ldots, E$ are retained throughout without change: only $A$ and the error terms vary.</p>

<p><img src=""http://i.stack.imgur.com/0yXVh.png"" alt=""Results""></p>

<p>The output associated with the upper left panel was</p>

<pre><code>       A  B  C  D  E
Comp.5 1 -1 -1 -1 -1
</code></pre>

<p>This says that the row of red dots--which is constantly at $0$, demonstrating a <em>perfect</em> multicollinearity--consists of the combination $0 \\approx A -B-C-D-E$: exactly what was specified.</p>

<p>The output for the upper middle panel was</p>

<pre><code>       A     B     C     D     E
Comp.5 1 -0.95 -1.03 -0.98 -1.02
</code></pre>

<p>The coefficients are still close to what we expected, but they are not quite the same due to the error introduced.  It thickened the four-dimensional hyperplane within the five-dimensional space implied by $(A,B,C,D,E)$ and that tilted the estimated direction just a little.  With more error, the thickening becomes comparable to the original spread of the points, making the hyperplane almost impossible to estimate.  Now (in the upper right panel) the coefficients are</p>

<pre><code>       A     B     C     D     E
Comp.5 1 -1.33 -0.77 -0.74 -1.07
</code></pre>

<p>They have changed quite a bit but still reflect the basic underlying relationship $A' = B' + C' + D' + E'$ where the primes denote the values with the (unknown) error removed.</p>

<p>The bottom row is interpreted the same way and its output similarly reflects the coefficients $1, 1/2, 1/2, 1$.</p>

<p>In practice, it is often not the case that one variable is singled out as an obvious combination of the others: all coefficients may be of comparable sizes and of varying signs.  Moreover, when there is more than one dimension of relations, there is no unique way to specify them: further analysis (such as row reduction) is needed to identify a useful basis for those relations. That's how the world works: <strong>all you can say is that <em>these</em> particular combinations that are output by PCA correspond to almost no variation in the data.</strong>  To cope with this, some people use the largest (""principal"") components directly as the independent variables in the regression or the subsequent analysis, whatever form it might take.  If you do this, do not forget first to remove the dependent variable from the set of variables and redo the PCA!</p>

<hr>

<p>Here is the code to reproduce this figure:</p>

<pre class=""lang-R prettyprint-override""><code>par(mfrow=c(2,3))
beta &lt;- c(1,1,1,1) # Also can be a matrix with `n.obs` rows: try it!
process(z, beta, sd=0, main=""A=B+C+D+E; No error"")
process(z, beta, sd=1/10, main=""A=B+C+D+E; Small error"")
process(z, beta, sd=1/3, threshold=2/3, main=""A=B+C+D+E; Large error"")

beta &lt;- c(1,1/2,1/2,1)
process(z, beta, sd=0, main=""A=B+(C+D)/2+E; No error"")
process(z, beta, sd=1/10, main=""A=B+(C+D)/2+E; Small error"")
process(z, beta, sd=1/3, threshold=2/3, main=""A=B+(C+D)/2+E; Large error"")
</code></pre>

<p>(I had to fiddle with the threshold in the large-error cases in order to display just a single component: that's the reason for supplying this value as a parameter to <code>process</code>.)</p>

<hr>

<p>User ttnphns has kindly directed our attention to a closely related thread.  <a href=""http://stats.stackexchange.com/a/16399/919"">One of its answers (by J.M.)</a> suggests the approach described here.</p>
74328"
