version,isuserpro,isuserstaff,haspaywall,israted,isoriginal,hascustomaudio,hascustomvideo,ncomments,nfavorites,nviews,nratings,rating,license,licenseurl,genres,groups,tags,songname,title,subtitle,artistname,composername,publisher,complexity,ntracks,tracks,songlength,songlengthseconds,songlengthbars,songlengthbeats,nnotes,notesperbar,nannotations,nlyrics,haslyrics,ntokens,pitchclassentropy,scaleconsistency,grooveconsistency,bestpath,isbestpath,bestarrangement,isbestarrangement,bestuniquearrangement,isbestuniquearrangement,subsetrated,subsetdeduplicated,subsetrateddeduplicated,path_metadata,hasmetadata_isuserpublisher_isofficial_isdraft_hasannotations_subsetall
3.01,True,False,False,False,False,False,False,0,0,4,0,0.0,publicdomain,https://creativecommons.org/publicdomain/mark/1.0/,,,,She Loves Another,She Loves Another,,Misc tunes,,,1,1,0,61440,63.99999999834667,32,128,240,7.5,3,0,False,243,2.6426204423442137,1.0,0.978515625,/data2/zachary/musescore/data/V/2/QmV2RMMZuHxhgQqEUV98FpFGJ5mPuDVSXy36xRDW62c8S4.mscz,False,/data2/zachary/musescore/data/V/2/QmV2RMMZuHxhgQqEUV98FpFGJ5mPuDVSXy36xRDW62c8S4.mscz,False,/data2/zachary/musescore/data/V/2/QmV2RMMZuHxhgQqEUV98FpFGJ5mPuDVSXy36xRDW62c8S4.mscz,False,False,False,False,./data/e/t/QmetwNZeUy1LMmDX2zcoSsdHPXCFQ2HEe6V7pEu94xUDDk.json./metadata/7/5080951.json,TrueFalseFalseFalseTrueTrue
3.01,True,False,False,False,False,False,False,0,0,1,0,0.0,publicdomain,https://creativecommons.org/publicdomain/mark/1.0/,,,,A Trip to Georgia,A Trip to Georgia,,Misc tunes,,,1,1,0,46080,47.99999999876,35,97,89,2.5428571428571427,1,0,False,90,2.6837716132217144,0.9887640449438202,0.9826388888888888,/data2/zachary/musescore/data/Q/w/QmQwW8CR2dPmhRsx7MtLP8gu5nm8Dwkqm1i9nvKgFa417p.mscz,False,/data2/zachary/musescore/data/Q/w/QmQwW8CR2dPmhRsx7MtLP8gu5nm8Dwkqm1i9nvKgFa417p.mscz,False,/data2/zachary/musescore/data/Q/w/QmQwW8CR2dPmhRsx7MtLP8gu5nm8Dwkqm1i9nvKgFa417p.mscz,False,False,False,False,./data/P/r/QmPrZNThb7Kcur33K9Me6bcfJFc6LSTh1Mytr5JuK2ZqMP.json./metadata/5/4721457.json,TrueFalseFalseFalseTrueTrue
3.01,True,False,False,False,False,False,False,0,0,4,0,0.0,publicdomain,https://creativecommons.org/publicdomain/mark/1.0/,,,,Troika,Troika,,Misc tunes,,,1,1,0,36000,37.49999999903125,19,76,73,3.842105263157895,3,0,False,76,2.7891485943071213,0.9178082191780822,0.9444444444444444,/data2/zachary/musescore/data/Y/T/QmYTrMnu1wWnKcxXbDpVCyaDPGq3GiPQ7GTbKvnDXg7Ya4.mscz,False,/data2/zachary/musescore/data/a/a/QmaahMHX51JmiE3LZUbdFpvTTuMdiV8Uvmvg6WPn1ATqJ5.mscz,False,/data2/zachary/musescore/data/a/a/QmaahMHX51JmiE3LZUbdFpvTTuMdiV8Uvmvg6WPn1ATqJ5.mscz,False,False,False,False,./data/Y/y/QmYyecZb6pwfCuYHswt3ygZcQnyxDR987sWdRUmJf3T6WK.json./metadata/4/4872429.json,TrueFalseFalseFalseTrueTrue
2.06,False,False,False,True,False,False,False,4,314,17250,61,4.61,cc-zero,https://creativecommons.org/publicdomain/zero/1.0/,,,lion,The Lion Theme,The Lion theme,,Dustin O'Halloran,Dustin O'Halloran & Hauschka,,1,1,0,125520,56.84782608620473,83,524,658,7.927710843373494,6,0,False,664,2.7343275249944607,0.9696048632218844,0.9964192708333334,/data2/zachary/musescore/data/Y/r/QmYrei1PJ3CosDZ7G6XssfMWRkFocjM72goA3oEzBy9vGS.mscz,True,/data2/zachary/musescore/data/Y/r/QmYrei1PJ3CosDZ7G6XssfMWRkFocjM72goA3oEzBy9vGS.mscz,True,/data2/zachary/musescore/data/Y/r/QmYrei1PJ3CosDZ7G6XssfMWRkFocjM72goA3oEzBy9vGS.mscz,True,True,True,True,./data/Y/r/QmYrei1PJ3CosDZ7G6XssfMWRkFocjM72goA3oEzBy9vGS.json./metadata/4/5307735.json,TrueFalseFalseFalseTrueTrue
3.01,True,False,False,False,False,False,False,0,0,1,0,0.0,publicdomain,https://creativecommons.org/publicdomain/mark/1.0/,,,,McArdle's Favorite,McArdle's Favorite,,Misc tunes,,,1,1,0,57360,29.874999999601663,40,240,233,5.825,11,0,False,244,2.3505710370140465,1.0,0.9870689655172412,/data2/zachary/musescore/data/a/s/QmasTgsjmydH77WCvozPPQVyTj3jXTCMRNEba1LoYpNEFV.mscz,False,/data2/zachary/musescore/data/a/s/QmasTgsjmydH77WCvozPPQVyTj3jXTCMRNEba1LoYpNEFV.mscz,False,/data2/zachary/musescore/data/Z/K/QmZKMhD8DhJo2Y9dySe4ys1D7ncCkpQ6gJeeMvi1cR2i1e.mscz,False,False,False,False,./data/U/8/QmU8pR24v1HW41U9NMHQsRTeZgevK3Qt45eUS4oHnfmuip.json./metadata/0/5107538.json,TrueFalseFalseFalseTrueTrue
3.01,True,False,False,False,False,False,False,0,0,3,0,0.0,publicdomain,https://creativecommons.org/publicdomain/mark/1.0/,,,,La Bagatelle,la Bagatelle (C),,Misc tunes,,,1,1,0,46080,23.99999999968,36,193,166,4.611111111111111,2,0,False,168,2.736014498931004,1.0,0.9513888888888888,/data2/zachary/musescore/data/d/2/Qmd2vTckqKPuSxxA5yu1xs8o5zXnxVS4dvoE8WdUCKuNwR.mscz,False,/data2/zachary/musescore/data/d/2/Qmd2vTckqKPuSxxA5yu1xs8o5zXnxVS4dvoE8WdUCKuNwR.mscz,False,/data2/zachary/musescore/data/R/6/QmR6daud8ciAQcchTvtXAZ9yvDT6adYB6uy4BEdGQ6zTKu.mscz,False,False,False,False,./data/X/S/QmXS2nPvTNM72uqpQ9ckDY9LnC3YvDr5LmC6Rpj4Zdx8Fh.json./metadata/7/4924808.json,TrueFalseFalseFalseTrueTrue
2.06,True,False,False,False,False,False,False,0,8,421,0,0.0,publicdomain,https://creativecommons.org/publicdomain/mark/1.0/,,,,,Syncopella Holiday '18,Arranged by Pentatonix,,Loenard Cohen Notated by MusicHaven Productions,,0,5,0-0-0-0-0,173760,114.31603013746157,130,688,1528,11.753846153846156,76,982,True,2586,2.755905050401989,0.9913448735019972,0.9530092592592592,/data2/zachary/musescore/data/N/r/QmNrAcQBLWoFRF7X2KSQFoedbY4MuSwdCLHkuAXkfXMohE.mscz,True,/data2/zachary/musescore/data/N/r/QmNrAcQBLWoFRF7X2KSQFoedbY4MuSwdCLHkuAXkfXMohE.mscz,True,/data2/zachary/musescore/data/N/r/QmNrAcQBLWoFRF7X2KSQFoedbY4MuSwdCLHkuAXkfXMohE.mscz,True,False,True,False,./data/N/r/QmNrAcQBLWoFRF7X2KSQFoedbY4MuSwdCLHkuAXkfXMohE.json./metadata/4/5301266.json,TrueFalseFalseFalseTrueTrue
3.01,True,False,False,False,False,False,False,0,0,5,0,0.0,publicdomain,https://creativecommons.org/publicdomain/mark/1.0/,classical,,,O Anblick,O Anblick - Christian Gregor,,Christian Gregor,,,1,1,0,32160,39.89992319911645,16,67,210,13.125,5,0,False,215,2.724334856033176,0.9904761904761904,0.9713541666666666,/data2/zachary/musescore/data/a/n/Qmanvchdkzq55kQM5tEDzqaLicM7HKRNMTLa6fnSZL1Vrv.mscz,True,/data2/zachary/musescore/data/a/n/Qmanvchdkzq55kQM5tEDzqaLicM7HKRNMTLa6fnSZL1Vrv.mscz,True,/data2/zachary/musescore/data/a/n/Qmanvchdkzq55kQM5tEDzqaLicM7HKRNMTLa6fnSZL1Vrv.mscz,True,False,True,False,./data/a/n/Qmanvchdkzq55kQM5tEDzqaLicM7HKRNMTLa6fnSZL1Vrv.json./metadata/2/5782598.json,TrueFalseFalseFalseTrueTrue
3.01,True,False,False,False,False,False,False,0,0,4,0,0.0,publicdomain,https://creativecommons.org/publicdomain/mark/1.0/,classical,,,Song of the Strange Little Boy,Skidi and Chaui Bands - Song of the Strange Little Boy,,Skidi and Chaui Bands,Skidi and Chaui Bands 1919,,1,1,0,5760,8.181799586605278,7,13,23,3.2857142857142856,2,0,False,25,1.8503470232150987,1.0,0.9027777777777778,/data2/zachary/musescore/data/P/n/QmPnVs6WGJmnZ77oMLxJmcGc2EXYHJTYc3ezssaSrSrewi.mscz,False,/data2/zachary/musescore/data/P/n/QmPnVs6WGJmnZ77oMLxJmcGc2EXYHJTYc3ezssaSrSrewi.mscz,False,/data2/zachary/musescore/data/c/Z/QmcZUuN41dk2ebZu5asTQnSKN97qxex93s4mion8FJeECu.mscz,True,False,True,False,./data/c/Z/QmcZUuN41dk2ebZu5asTQnSKN97qxex93s4mion8FJeECu.json./metadata/7/4566637.json,TrueFalseFalseFalseTrueTrue
2.06,True,False,False,False,False,False,False,0,0,51,0,0.0,cc-zero,https://creativecommons.org/publicdomain/zero/1.0/,,,muzykainstrumentalna-niemcymuzykaw-wroclawuniversitylibrary-digitallibrary-publicdomain-harp,,21. Largo from the Harfenbuch Anno 1790,Harfenbuch 1790,,,,0,1,46,72240,138.9235043763267,38,152,984,25.894736842105264,4,130,True,1118,2.551377148692018,1.0,0.8198198198198199,/data2/zachary/musescore/data/e/d/QmedHDs6P1MaBNdzAwafArYucsvTSCBJBs81jZQNzbeVmY.mscz,False,/data2/zachary/musescore/data/e/d/QmedHDs6P1MaBNdzAwafArYucsvTSCBJBs81jZQNzbeVmY.mscz,False,/data2/zachary/musescore/data/R/P/QmRPxVRZCBYSFRNdrusr2xsqu5VgWbquh3f3PkmPWagM8i.mscz,True,False,True,False,./data/R/P/QmRPxVRZCBYSFRNdrusr2xsqu5VgWbquh3f3PkmPWagM8i.json./metadata/8/5263651.json,TrueFalseFalseFalseTrueTrue
