review/profileName,review/time,review/overall,review/taste,review/palate,review/appearance,beer/style,beer/name_beer/beerId
TheJester,1218240000,14/20,7/10,4/5,3/5,Abbey Dubbel,Brunehaut Abbaye de Saint-Martin Brune71721
olio,1315267200,9/20,4/10,3/5,3/5,Premium Lager,Thorbru Celtic Honeybrown132283
johninmelb,1089417600,9/20,5/10,2/5,3/5,Bitter,Sharps Doom Bar (Bottle)8575
can8ianben,1126310400,12/20,6/10,3/5,3/5,American Pale Ale,Williamsburg Pale Ale7839
caledonian,1211760000,13/20,6/10,3/5,3/5,Scottish Ale,RJ Le Cheval Blanc Loch Ness6365
Crockett,1078617600,15/20,7/10,3/5,4/5,Belgian Strong Ale,RJ Blonde dAchouffe6359
omhper,1215561600,10/20,6/10,2/5,3/5,Bitter,Sharps Single Brew Reserve85097
JRock72,1285891200,16/20,7/10,3/5,4/5,Abbey Tripel,Chimay Triple / Blanche (White) / Cinq Cents52
mrkimchee,1083369600,10/20,5/10,2/5,3/5,Vienna,Belle Gueule Originale2135
DocLock,1162425600,18/20,9/10,4/5,5/5,Baltic Porter,The Duck-Rabbit Baltic Porter63820
Theis,1305244800,15/20,6/10,3/5,4/5,Sweet Stout,The Duck-Rabbit Milk Stout38879
dortmunder,1120176000,10/20,6/10,3/5,3/5,Dunkel,Wernecker Bayerisch Dunkel3355
ogglethorp,1172361600,17/20,8/10,4/5,4/5,Scotch Ale,The Duck-Rabbit Wee Heavy Scotch Style Ale59173
thebeertourist,1244764800,8/20,5/10,3/5,4/5,Belgian White (Witbier),Daas Witte101631
Emil,1115164800,13/20,6/10,3/5,3/5,Belgian Strong Ale,La Ramee Blond12185
beernovice39,1278028800,15/20,6/10,3/5,3/5,Brown Ale,Big River Grille Sweet Magnolia American Brown Ale12938
rlaw,1323734400,11/20,4/10,3/5,3/5,Pale Lager,Harar8840
dcschiller,1295568000,16/20,7/10,3/5,4/5,Imperial Stout,The Duck-Rabbit Rabid Duck Russian Imperial Stout54634
bb,1078704000,18/20,9/10,4/5,4/5,Belgian Strong Ale,Chimay Bleue (Blue) / Grande Rserve53
Kaya161,992908800,14/20,5/10,3/5,2/5,Pilsener,Belle Gueule Pilsner8133
beerbill,1302652800,12/20,6/10,3/5,4/5,India Pale Ale (IPA),Landmark India Pale Ale70291
destroye7,1145232000,18/20,8/10,2/5,5/5,Specialty Grain,RJ Le Cheval Blanc Coup de Grisou6363
JoeMcPhee,1101168000,14/20,7/10,3/5,4/5,Brown Ale,Sailor Hagars Grizzly Nut Brown13671
scarletfire65,1281830400,19/20,9/10,5/5,4/5,Belgian Strong Ale,Chimay Bleue (Blue) / Grande Rserve53
kp,1203811200,17/20,8/10,4/5,4/5,Belgian Strong Ale,Twains Captain Stormfield Abbey Ale84175
Allseeingeye,1035590400,16/20,8/10,3/5,4/5,Abbey Dubbel,Chimay Rouge (Red) / Premire51
Sparky,1218240000,16/20,7/10,4/5,4/5,Belgian Strong Ale,Chimay Bleue (Blue) / Grande Rserve53
nijuro,1163808000,14/20,7/10,4/5,4/5,Abbey Dubbel,Chimay Rouge (Red) / Premire51
bhensonb,1271808000,13/20,6/10,4/5,4/5,Belgian Strong Ale,Biere du Mont Saint Aubert7004
Daytona00,1299110400,15/20,8/10,4/5,4/5,Belgian White (Witbier),RJ Le Cheval Blanc Blanche (de Bl)6362
biz82,1102896000,16/20,8/10,4/5,5/5,Abbey Tripel,Chimay Triple / Blanche (White) / Cinq Cents52
farmboy,1121644800,12/20,6/10,3/5,3/5,Stout,Mountain Goat Surefoot Stout8665
obguthr,1181606400,10/20,5/10,2/5,5/5,Strong Pale Lager/Imperial Pils,Erebuni19539
SavannahBrewer,1156377600,15/20,8/10,3/5,4/5,Belgian Strong Ale,Chimay Bleue (Blue) / Grande Rserve53
AskForJenny,1167177600,18/20,8/10,3/5,3/5,Abbey Tripel,Chimay Triple / Blanche (White) / Cinq Cents52
